Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Headline,Text,Media,Media Credit,Media Caption,Media Thumbnail,Type,Group,Background
2016,8,1,,2016,8,1,,,Korryn Gaines killed,"Monday, August 1, 2016, Korryn Gaines and her son, Kodi, are shot by Blatimore County police officers. Korryn is killed. Kodi survives.",,,,,,,
2016,8,14,,2016,8,14,,,Colin Kaepernick NFL Protest begins,"Sunday, August 14, 2016, NFL player Colin Kaepernick begins a protest against police killings of Black people during the playing of ""The Star-Spangled Banner"" at the beginning of football games",,,,,,,
2016,8,17,,2016,8,17,,,Fall 2016 classes begin,"Fall 2016 classes begin Wednesday, August 17, 2016",,,,,,,
2016,9,13,,2016,9,13,,,Clemson football Coach Dabo Swinney comments on Kaepernick NFL protest,"Tuesday, September 13, 2016, Clemson football coach Dabo Swinney responds to Kaepernick protest during press conference",,,,,,,
2016,9,,,2016,9,,,,Clemson Professor writes open letter to Coach Swinney,"Wednesday, September 14, 2016, Clemson Professor Chenjerai Kumanyika writes letter in The Grio: ""Take MLK's name out your mouth: An open letter to Clemson football coach Dabo Swinney""",,,,,,,
2016,9,15,,2016,9,15,,,Clemson Graduate Student Government President issues letter to Coach Swinney,"Thursday, September 15, 2016, Graduate Student Government President, Tyrese Bryant issues letter to Coach Swinney",,,,,,,
2016,10,10,,2016,10,10,,,KKK recruitment flyers found on Clemson campus,"Monday, October 10, 2016, recruitment flyers for the Ku Klux Klan found on campus",,,,,,,
2016,10,10,,2016,10,10,,,Clemson University Police release a statement about Klan recruitment and multiple racial harrassment incidents of students,"Monday, October 10, 2016, Clemson University Police release a statement about Klan recruitment and multiple racial harrassment incidents of students",,,,,,,
2016,10,18,,2016,10,18,,,"""Make Clemson Great Again"" event in ""Old Main"" auditorium","Tuesday, October 18, 2016, Clemson students host ""Make Clemson Great Again"" even featuring Milo Yiannopolous",,,,,,,
2016,,,,2016,,,,,"Greenville News: ""Clemson U. police investigate KKK fliers""",,,,,,,,
2016,,,,2016,,,,,"Op-Ed: ""We Need More Free Speech On Campus""",Op-Ed about free speech on campus,,,,,,,
2016,12,15,,2016,12,15,,,Fall 2016 graduation,"Fall 2015 semester ends Thursday, December 15, 2016",,,,,,,
2017,1,11,,2017,1,11,,,Spring 2017 semester begins,"Spring 2017 semester begins Wednesday, January 11, 2017",,,,,,,
2017,5,11,,2017,5,12,,,Spring 2017 commencement,"Thursday/Friday May 11-12, 2017",,,,,,,
2017,2,10,,2017,2,10,,,"Clemson News: ""Clemson doctoral student produces rap album for dissertation, it goes viral""","Clemson News article about dissertation album, Owning My Masters: The Rhetorics of Rhymes & Revolutions",,,,,,,
2017,2,24,,2017,2,24,,,Dissertation defense,,,,,,,,
